"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 16 16:44:26 CST 2021","Sat Jan 16 16:44:27 CST 2021","182","test_tpt_run","test_tpt_run","TestCaseRun","","","test01[data2]",""
"passed","Sat Jan 16 16:44:28 CST 2021","Sat Jan 16 16:44:28 CST 2021","212","test_tpt_run","test_tpt_run","TestCaseRun","","","test01[data9]",""
"passed","Sat Jan 16 16:44:27 CST 2021","Sat Jan 16 16:44:28 CST 2021","479","test_tpt_run","test_tpt_run","TestCaseRun","","","test01[data6]",""
"passed","Sat Jan 16 16:44:28 CST 2021","Sat Jan 16 16:44:28 CST 2021","185","test_tpt_run","test_tpt_run","TestCaseRun","","","test01[data8]",""
"passed","Sat Jan 16 16:44:29 CST 2021","Sat Jan 16 16:44:29 CST 2021","267","test_tpt_run","test_tpt_run","TestCaseRun","","","test01[data12]",""
"passed","Sat Jan 16 16:44:28 CST 2021","Sat Jan 16 16:44:29 CST 2021","218","test_tpt_run","test_tpt_run","TestCaseRun","","","test01[data10]",""
"passed","Sat Jan 16 16:44:26 CST 2021","Sat Jan 16 16:44:26 CST 2021","428","test_tpt_run","test_tpt_run","TestCaseRun","","","test01[data1]",""
"passed","Sat Jan 16 16:44:28 CST 2021","Sat Jan 16 16:44:28 CST 2021","184","test_tpt_run","test_tpt_run","TestCaseRun","","","test01[data7]",""
"passed","Sat Jan 16 16:44:25 CST 2021","Sat Jan 16 16:44:26 CST 2021","746","test_tpt_run","test_tpt_run","TestCaseRun","","","test01[data0]",""
"passed","Sat Jan 16 16:44:29 CST 2021","Sat Jan 16 16:44:30 CST 2021","597","test_tpt_run","test_tpt_run","TestCaseRun","","","test01[data13]",""
"failed","Sat Jan 16 16:44:27 CST 2021","Sat Jan 16 16:44:27 CST 2021","207","test_tpt_run","test_tpt_run","TestCaseRun","","","test01[data5]",""
"passed","Sat Jan 16 16:44:30 CST 2021","Sat Jan 16 16:44:30 CST 2021","270","test_tpt_run","test_tpt_run","TestCaseRun","","","test01[data14]",""
"passed","Sat Jan 16 16:44:27 CST 2021","Sat Jan 16 16:44:27 CST 2021","219","test_tpt_run","test_tpt_run","TestCaseRun","","","test01[data3]",""
"passed","Sat Jan 16 16:44:27 CST 2021","Sat Jan 16 16:44:27 CST 2021","250","test_tpt_run","test_tpt_run","TestCaseRun","","","test01[data4]",""
"passed","Sat Jan 16 16:44:29 CST 2021","Sat Jan 16 16:44:29 CST 2021","256","test_tpt_run","test_tpt_run","TestCaseRun","","","test01[data11]",""
